Song ID,Metaphor,Interpretation,Source Domain,Target Domain
1,දෙනෙත් කවුලු හැර,ඇස් දෙක ඇර,දෙනෙත්,දෙනෙත් කවුලු
,අඳුරේ සීතල සලුව යටින්,මීදුම යටින්,මීදුම,සීතල සලුව
2,ආදරය සුන්දර වරදකි,ආදරය සුන්දරයි. විටක වරදකට පෙරලෙයි. මුලදී ආලය පෙන්නා එයම මහත් දුකක් බවට පත් කිරීම සුන්දර වරදකි,ආදරය,සුන්දර වරද
,ඉදුවර නුවන් දෑලේ,මහනෙල් මල් වගේ ඇස් වල බැල්ම,නුවන් දෑල,ඉදුවර නුවන් දෑල
,හද ස්වර තලා කම්පිත‍ වේවි,"මගේ හද කම්පනයෙන් නින්නාද දෙනවා, දුකින් තැලුනු මගේ හද  කම්පාවට පත්වෙලා",හද,හද ස්වර තලා
3,"ඔබේ ආදරේ, මිරිඟුවක් තනිකමක් විතරමයි",ඔබේ ආදරය ව්‍යාජ දෙයක්,ආදරය,"මිරිඟුව, තනිකම"
4,ආදරයේ උල්පත වූ අම්මා,ලෝකයේ තිබෙන්නා වටිනාම වස්තුව වන්නේ මවයි. එකී මවකගේ ආදරයට සමකළ හැකි අන් කිසිවක් මිහිපිට නොමැත,අම්මා,ආදරයේ උල්පත
5,ආදරේ මන්දිරේ,ආදරය නම් මන්දිරයේ,ආදරය,මන්දිරය
6,සුපුන් සඳ ඔබ තමයි මගේ,"ඔබ මගේ ලෝකය දීප්තිමත් කරයි, ඔබ මාව සතුටු  කරවයි",ලඳ,බාදුරා මල
7,මධු බිදුවකි ආදරේ,ආදරය ඉතා මිහිරි දෙයකි,ආදරය,මධු බිදුව
8,ඇයගේ මුව කමලේ,මලක් මෙන් ලස්සන ඇගේ මුහුණ,ඇයගේ මුව,කමල
9,අහසයි ඔබ මට නිම් හිම් නොපෙනෙන,ඔබ මට ගොඩක් වටියි,ඔබ,අහස
,අගාත අඳුරක දොල රන් සිළුව ඔබයි,ඔබ මගේ අඳුරු ජීවිතේ දීප්තිමත් කරයි,ඔබ,අගාත අඳුරක දොල රන් සිළුව
10,නීල වරල,දිලිසෙන කොණ්ඩය,වරල,නීල වරල
,නිල් නෙත් යුග,"නිල් සහ දීප්තිමත්, දිලිසෙන ඇස්  දෙක",නෙත් යුග,නිල් නෙත් යුග
